Sequence,A or a,E or e,I or i,O or o,U or u,Consonants
gdDpLzElJ,0,1,0,0,0,8
JOMlWmI,0,0,1,1,0,5
gUMhny,0,0,0,0,1,5
PTZQLueYs,0,1,0,0,1,7
rEWcamhj,1,1,0,0,0,6
ILVRael,1,1,1,0,0,4
FtCVnlI,0,0,1,0,0,6
KcewhvZ,0,1,0,0,0,6
ZHpbPIX,0,0,1,0,0,6
vJoUNHum,0,0,0,1,2,5
rSRMOFqlX,0,0,0,1,0,8
FSNIQThd,0,0,1,0,0,7
LDFiRzN,0,0,1,0,0,6
mWyvHQ,0,0,0,0,0,6
VTrzjb,0,0,0,0,0,6
RGAMTKEjd,1,1,0,0,0,7
ImbcVvUF,0,0,1,0,1,6
mFwYQfoAP,1,0,0,1,0,7
AeoJQfHj,1,1,0,1,0,5
IDgWUQrikw,0,0,2,0,1,7
jwPUGZ,0,0,0,0,1,5
eJkHdWmc,0,1,0,0,0,7
NIaMStd,1,0,1,0,0,5
AsMrENXefo,1,2,0,1,0,6
OAvaoBwys,2,0,0,2,0,5
GxSplRLw,0,0,0,0,0,8
SNHsZp,0,0,0,0,0,6
BMbuLkNTyo,0,0,0,1,1,8
RhOebVG,0,1,0,1,0,5
yejQEt,0,2,0,0,0,4
cwBQRjDgIX,0,0,1,0,0,9
ZtdIrvRNHO,0,0,1,1,0,8
CRNmAQVK,1,0,0,0,0,7
xCFgLUVb,0,0,0,0,1,7
MjTflxy,0,0,0,0,0,7
qZEUSLTcN,0,1,0,0,1,7
fecqzKxin,0,1,1,0,0,7
twAcVd,1,0,0,0,0,5
NpFLyUmbnP,0,0,0,0,1,9
mnLYBP,0,0,0,0,0,6
VmRAZDbJ,1,0,0,0,0,7
RWBvtOYjZI,0,0,1,1,0,8
niUdMKA,1,0,1,0,1,4
fpHuMq,0,0,0,0,1,5
SnHuFXd,0,0,0,0,1,6
SLiGzx,0,0,1,0,0,5
xqJAChwM,1,0,0,0,0,7
YkHqJyAhe,1,1,0,0,0,7
mFyceEYVSZ,0,2,0,0,0,8
LZVTjNG,0,0,0,0,0,7
zpFXTULqyR,0,0,0,0,1,9
bzWkoief,0,1,1,1,0,5
ABGpxOg,1,0,0,1,0,5
MBFeIDQX,0,1,1,0,0,6
MqTIJu,0,0,1,0,1,4
xAwHsi,1,0,1,0,0,4
DAUkBEItP,1,1,1,0,1,5
ZGnTFklW,0,0,0,0,0,8
zeTLDuk,0,1,0,0,1,5
KpSMUAfgkx,1,0,0,0,1,8
johWYztJy,0,0,0,1,0,8
fUQmjA,1,0,0,0,1,4
QhTHPm,0,0,0,0,0,6
HbSmiL,0,0,1,0,0,5
KxujaFRYAI,2,0,1,0,1,6
nEcOdQ,0,1,0,1,0,4
JnoUgv,0,0,0,1,1,4
SMgvcH,0,0,0,0,0,6
LwIHfKDNg,0,0,1,0,0,8
heaAXdftGZ,2,1,0,0,0,7
UgyquaG,1,0,0,0,2,4
WTswmCrcNK,0,0,0,0,0,10
BgYwdcxvr,0,0,0,0,0,9
deznoqP,0,1,0,1,0,5
tnwYqo,0,0,0,1,0,5
nUKfhjr,0,0,0,0,1,6
NCzguy,0,0,0,0,1,5
NznGkTfu,0,0,0,0,1,7
yuOVdL,0,0,0,1,1,4
HAQWBEYhyD,1,1,0,0,0,8
sRlaWMuO,1,0,0,1,1,5
FbzKAd,1,0,0,0,0,5
XQezVd,0,1,0,0,0,5
vNtDrd,0,0,0,0,0,6
HBeWZvu,0,1,0,0,1,5
ibSLhk,0,0,1,0,0,5
YEmfNboid,0,1,1,1,0,6
ldtueWUvM,0,1,0,0,2,6
qiuYtr,0,0,1,0,1,4
ptjOiJzXh,0,0,1,1,0,7
MVevXKk,0,1,0,0,0,6
QiCUabhgZ,1,0,1,0,1,6
EygiGm,0,1,1,0,0,4
tCuxFqRM,0,0,0,0,1,7
UGdFBln,0,0,0,0,1,6
LcUdCuOsI,0,0,1,1,2,5
wcMXtAEu,1,1,0,0,1,5
itWCLdgX,0,0,1,0,0,7
LBNyuW,0,0,0,0,1,5
hYvMrGWztO,0,0,0,1,0,9
VmuSqo,0,0,0,1,1,4
eBrptJxdwC,0,1,0,0,0,9
ynjkWuOzw,0,0,0,1,1,7
ZtMHopw,0,0,0,1,0,6
ONcrFUp,0,0,0,1,1,5
JHzIrg,0,0,1,0,0,5
uyawMSHPxE,1,1,0,0,1,7
vEqhufioz,0,1,1,1,1,5
UEsXtKAV,1,1,0,0,1,5
JnIkuV,0,0,1,0,1,4
eMHfGbWY,0,1,0,0,0,7
FPZprH,0,0,0,0,0,6
wTbsyEANQK,1,1,0,0,0,8
QBEfDmV,0,1,0,0,0,6
CwZzIXDN,0,0,1,0,0,7
pkXTSwqd,0,0,0,0,0,8
gqWfdXEK,0,1,0,0,0,7
QCGvBaUwtL,1,0,0,0,1,8
DsKlnvfj,0,0,0,0,0,8
zlKxEu,0,1,0,0,1,4
qCyIRTd,0,0,1,0,0,6
eoHBsj,0,1,0,1,0,4
ulOyFefG,0,1,0,1,1,5
zRKxNS,0,0,0,0,0,6
wraGKjFp,1,0,0,0,0,7
XiUxePdNpZ,0,1,1,0,1,7
trLwZSFM,0,0,0,0,0,8
bSjrFfOT,0,0,0,1,0,7
jaYJqX,1,0,0,0,0,5
UwSDpx,0,0,0,0,1,5
DYAJvb,1,0,0,0,0,5
RJETSf,0,1,0,0,0,5
wapCzXkIDA,2,0,1,0,0,7
wiDJgPA,1,0,1,0,0,5
UYMhvBXr,0,0,0,0,1,7
FowIuvUBQ,0,0,1,1,2,5
pSozRu,0,0,0,1,1,4
vtgXrZ,0,0,0,0,0,6
MnOIBdRrC,0,0,1,1,0,7
ckqCnQdpR,0,0,0,0,0,9
reWLXl,0,1,0,0,0,5
ijgXSeY,0,1,1,0,0,5
SaDnwuiGNI,1,0,2,0,1,6
yDUopMGdv,0,0,0,1,1,7
jWNIqRCwnH,0,0,1,0,0,9
virEAP,1,1,1,0,0,3
iAswbqQ,1,0,1,0,0,5
YkptRO,0,0,0,1,0,5
FGtgruUij,0,0,1,0,2,6
xqrYbL,0,0,0,0,0,6
ySeLcP,0,1,0,0,0,5
kyqaEZO,1,1,0,1,0,4
BATmGW,1,0,0,0,0,5
wzyWFZv,0,0,0,0,0,7
kMDNEnG,0,1,0,0,0,6
tksOPjZ,0,0,0,1,0,6
ezRXaBqgc,1,1,0,0,0,7
arsoRPmuC,1,0,0,1,1,6
cfyYAW,1,0,0,0,0,5
PMnWuZBLFS,0,0,0,0,1,9
dGrpPDbAR,1,0,0,0,0,8
EDAeHaJXTO,2,2,0,1,0,5
NHzPVp,0,0,0,0,0,6
gAIWxb,1,0,1,0,0,4
QovNYnfs,0,0,0,1,0,7
zfExOyXWl,0,1,0,1,0,7
UVhzmgx,0,0,0,0,1,6
aMpdbAORhj,2,0,0,1,0,7
svbeRq,0,1,0,0,0,5
mgwKqDpduf,0,0,0,0,1,9
cQXShqm,0,0,0,0,0,7
OErTNpbIZ,0,1,1,1,0,6
AbrUVXlNmT,1,0,0,0,1,8
mpGhlbz,0,0,0,0,0,7
AnFvVtKe,1,1,0,0,0,6
dSqoUJWt,0,0,0,1,1,6
ZiqogCBlDE,0,1,1,1,0,7
ZHaETcw,1,1,0,0,0,5
pDOrdS,0,0,0,1,0,5
LetOQNa,1,1,0,1,0,4
wAqrscJNiG,1,0,1,0,0,8
iflQNJF,0,0,1,0,0,6
HCMAuZh,1,0,0,0,1,5
HoNhvpU,0,0,0,1,1,5
LzDjrZ,0,0,0,0,0,6
KiMyjLc,0,0,1,0,0,6
xQBWCm,0,0,0,0,0,6
USbjOBeN,0,1,0,1,1,5
FLjXKdV,0,0,0,0,0,7
sFrbnTl,0,0,0,0,0,7
fHEhVM,0,1,0,0,0,5
iOvBJTCR,0,0,1,1,0,6
cktvHLGWEf,0,1,0,0,0,9
GCSgWNp,0,0,0,0,0,7
xUVatH,1,0,0,0,1,4
qVrfCTO,0,0,0,1,0,6
pINbfzwDlj,0,0,1,0,0,9
QVxzeY,0,1,0,0,0,5
jLEgPTeFJ,0,2,0,0,0,7
PluorZwRDp,0,0,0,1,1,8
nRXjGWb,0,0,0,0,0,7
nFMONP,0,0,0,1,0,5
oCKVbQn,0,0,0,1,0,6
AKYPQmkC,1,0,0,0,0,7
vDdgGpHmi,0,0,1,0,0,8
hJeOMm,0,1,0,1,0,4
IlNGLrD,0,0,1,0,0,6
dsriGgFVy,0,0,1,0,0,8
tuKoJbjzm,0,0,0,1,1,7
JeFDtXY,0,1,0,0,0,6
yErQMOxs,0,1,0,1,0,6
arypTKbP,1,0,0,0,0,7
EPiqtFGB,0,1,1,0,0,6
fdYkAiRZv,1,0,1,0,0,7
RqkOIjy,0,0,1,1,0,5
YKMkjpNV,0,0,0,0,0,8
QbHkwOD,0,0,0,1,0,6
BdDavgl,1,0,0,0,0,6
HBagUl,1,0,0,0,1,4
SipRkWL,0,0,1,0,0,6
jPIRmNKuGy,0,0,1,0,1,8
zErHChZQPo,0,1,0,1,0,8
PpvaEx,1,1,0,0,0,4
MhHwyQp,0,0,0,0,0,7
UptZVcq,0,0,0,0,1,6
ojzUDBARQ,1,0,0,1,1,6
NIQWHk,0,0,1,0,0,5
FaRDKjOLh,1,0,0,1,0,7
QNxoAOuHC,1,0,0,2,1,5
SfeuOmKny,0,1,0,1,1,6
oHbzSgMV,0,0,0,1,0,7
vrHyDe,0,1,0,0,0,5
tjyUFVzhs,0,0,0,0,1,8
OXpeSHr,0,1,0,1,0,5
PSnraR,1,0,0,0,0,5
bveRAI,1,1,1,0,0,3
jJNUIYMsfH,0,0,1,0,1,8
VFOKCd,0,0,0,1,0,5
vCpYrubqz,0,0,0,0,1,8
NGvaWA,2,0,0,0,0,4
abDNVI,1,0,1,0,0,4
HOIyuao,1,0,1,2,1,2
PrJYjsQNqa,1,0,0,0,0,9
vbHwGAo,1,0,0,1,0,5
UHfMtCPi,0,0,1,0,1,6
evcohJM,0,1,0,1,0,5
lYfMgrBms,0,0,0,0,0,9
ijERpAol,1,1,1,1,0,4
ifIgTpNndU,0,0,2,0,1,7
QXnGZLATN,1,0,0,0,0,8
UDLzlK,0,0,0,0,1,5
LUGMcK,0,0,0,0,1,5
qRPZMOC,0,0,0,1,0,6
slNMDwqk,0,0,0,0,0,8
gETDtNnMC,0,1,0,0,0,8
HxoCgr,0,0,0,1,0,5
LugikeB,0,1,1,0,1,4
ZUVzWrtQ,0,0,0,0,1,7
xZiwLpGkl,0,0,1,0,0,8
VZYLMh,0,0,0,0,0,6
gMpkCWeLAF,1,1,0,0,0,8
UdYsEmJSg,0,1,0,0,1,7
CDcxRbQ,0,0,0,0,0,7
BCHPFRYJA,1,0,0,0,0,8
FTvoAw,1,0,0,1,0,4
rDWqeaJ,1,1,0,0,0,5
XUHJbvB,0,0,0,0,1,6
LeDkoSs,0,1,0,1,0,5
oePdYx,0,1,0,1,0,4
FsxIwlGiEK,0,1,2,0,0,7
QsranWB,1,0,0,0,0,6
CvWBlFf,0,0,0,0,0,7
vAcTQBya,2,0,0,0,0,6
uWtjliAdY,1,0,1,0,1,6
MgPsDlw,0,0,0,0,0,7
WkjhHboisI,0,0,2,1,0,7
quAtzlB,1,0,0,0,1,5
yDsRcqj,0,0,0,0,0,7
gnMFmGW,0,0,0,0,0,7
sPZGnxJqLo,0,0,0,1,0,9
gszQKnwe,0,1,0,0,0,7
EPOdwFkotC,0,1,0,2,0,7
owDZlI,0,0,1,1,0,4
YkxcfJm,0,0,0,0,0,7
cmtFQgikw,0,0,1,0,0,8
kdsqCl,0,0,0,0,0,6
GLKOXSdtlx,0,0,0,1,0,9
nueBSyl,0,1,0,0,1,5
YhSnmHr,0,0,0,0,0,7
FNnqyR,0,0,0,0,0,6
POTJAs,1,0,0,1,0,4
axIgnUXi,1,0,2,0,1,4
nQqdhZKWEr,0,1,0,0,0,9
xVLbCf,0,0,0,0,0,6
EGtuIZWq,0,1,1,0,1,5
itKFQAZNm,1,0,1,0,0,7
jePZnLkJO,0,1,0,1,0,7
yfBwvG,0,0,0,0,0,6
BjsaOWUA,2,0,0,1,1,4
KZftIFW,0,0,1,0,0,6
FGxbaLcEMY,1,1,0,0,0,8
DRCrZh,0,0,0,0,0,6
OgvZApVK,1,0,0,1,0,6
VNkWDRJqT,0,0,0,0,0,9
cndLPoOwV,0,0,0,2,0,7
lkyNJmpH,0,0,0,0,0,8
ekVrFAc,1,1,0,0,0,5
TQGZMYmB,0,0,0,0,0,8
uMyTUW,0,0,0,0,2,4
ESPFiDUINO,0,1,2,1,1,5
hITZbKs,0,0,1,0,0,6
TspncV,0,0,0,0,0,6
cHKPTeIl,0,1,1,0,0,6
IvjHfF,0,0,1,0,0,5
Fzxhrcip,0,0,1,0,0,7
FnEIbzHNpd,0,1,1,0,0,8
tPMLEqRNev,0,2,0,0,0,8
WznLbIi,0,0,2,0,0,5
gJeUBby,0,1,0,0,1,5
gaDotQumd,1,0,0,1,1,6
SLAvtw,1,0,0,0,0,5
WfBhSHK,0,0,0,0,0,7
bwclRrYdZ,0,0,0,0,0,9
DfitlsvP,0,0,1,0,0,7
rSbaQZVwOM,1,0,0,1,0,8
XVMuGv,0,0,0,0,1,5
GDIUuZjvC,0,0,1,0,2,6
KMjlYpFevJ,0,1,0,0,0,9
MkiRjFD,0,0,1,0,0,6
uUkEDPoAW,1,1,0,1,2,4
jVguMizxq,0,0,1,0,1,7
VTECPQl,0,1,0,0,0,6
PWIHjtvOk,0,0,1,1,0,7
pMPBDR,0,0,0,0,0,6
xfXRmn,0,0,0,0,0,6
HIJEmsDg,0,1,1,0,0,6
IdfRuvj,0,0,1,0,1,5
rDwAVkofM,1,0,0,1,0,7
JRNAhm,1,0,0,0,0,5
ligPTGQe,0,1,1,0,0,6
srCLwV,0,0,0,0,0,6
nubgwRZK,0,0,0,0,1,7
mjOylVQMw,0,0,0,1,0,8
twrUAZ,1,0,0,0,1,4
MpUetE,0,2,0,0,1,3
kMrXse,0,1,0,0,0,5
bcsDmfR,0,0,0,0,0,7
CsFzXgSf,0,0,0,0,0,8
eDQCGp,0,1,0,0,0,5
vrcTImYKwZ,0,0,1,0,0,9
KLFRxkjHdI,0,0,1,0,0,9
evICAW,1,1,1,0,0,3
STWHYU,0,0,0,0,1,5
yUPBmcoz,0,0,0,1,1,6
eqAyDQBja,2,1,0,0,0,6
AhGYJoRrP,1,0,0,1,0,7
oBdhpqi,0,0,1,1,0,5
QZljuLV,0,0,0,0,1,6
owiZsgCFG,0,0,1,1,0,7
OMFJyu,0,0,0,1,1,4
QcMakt,1,0,0,0,0,5
DGjFgamiBE,1,1,1,0,0,7
FLsvEr,0,1,0,0,0,5
miwnPsGM,0,0,1,0,0,7
XRjJMBzq,0,0,0,0,0,8
ySzeEXIr,0,2,1,0,0,5
uVzMErNcH,0,1,0,0,1,7
SsnZNYKLM,0,0,0,0,0,9
mqCzNL,0,0,0,0,0,6
nhypafjW,1,0,0,0,0,7
mqUJCEv,0,1,0,0,1,5
Povxwa,1,0,0,1,0,4
rAeIlX,1,1,1,0,0,3
AVCQGhY,1,0,0,0,0,6
zTrDos,0,0,0,1,0,5
TCAVDl,1,0,0,0,0,5
XZuWnAR,1,0,0,0,1,5
zNLiEc,0,1,1,0,0,4
OhXmrI,0,0,1,1,0,4
iMQpyHOc,0,0,1,1,0,6
PdpBKlsZ,0,0,0,0,0,8
uhtaKlw,1,0,0,0,1,5
XgMTUQadxo,1,0,0,1,1,7
tELRHIV,0,1,1,0,0,5
CDpUbls,0,0,0,0,1,6
GkUKnlIm,0,0,1,0,1,6
pUzMjP,0,0,0,0,1,5
gxKCsR,0,0,0,0,0,6
DxjZrBJg,0,0,0,0,0,8
BDWcwe,0,1,0,0,0,5
rtsUZdx,0,0,0,0,1,6
GeXuOVJRqi,0,1,1,1,1,6
UzVxslrf,0,0,0,0,1,7
qvsOyxG,0,0,0,1,0,6
XbvMRcJ,0,0,0,0,0,7
PTRDsrpYE,0,1,0,0,0,8
eAIcxvaQy,2,1,1,0,0,5
tGfInh,0,0,1,0,0,5
zuQtwlM,0,0,0,0,1,6
EzHhtDf,0,1,0,0,0,6
vRAEYH,1,1,0,0,0,4
heRMqnEuWr,0,2,0,0,1,7
oFOJHYXp,0,0,0,2,0,6
DawRjmQiJ,1,0,1,0,0,7
DwzdRVOrk,0,0,0,1,0,8
lLWsTQ,0,0,0,0,0,6
gwHdoa,1,0,0,1,0,4
rhfdDF,0,0,0,0,0,6
kWjdzh,0,0,0,0,0,6
nNufbY,0,0,0,0,1,5
aoinZNq,1,0,1,1,0,4
ZSvhxJ,0,0,0,0,0,6
kRPmeHqF,0,1,0,0,0,7
viUbNz,0,0,1,0,1,4
uazRNdcKtb,1,0,0,0,1,8
elMOtEokHa,1,2,0,2,0,5
WpZYULy,0,0,0,0,1,6
GITzHEQ,0,1,1,0,0,5
EIXRrt,0,1,1,0,0,4
fxABGSHgNq,1,0,0,0,0,9
fyEMND,0,1,0,0,0,5
sGOEUm,0,1,0,1,1,3
pucCMgt,0,0,0,0,1,6
fYgkNbE,0,1,0,0,0,6
zElaNB,1,1,0,0,0,4
ivyqDhzk,0,0,1,0,0,7
dTkNsJMeA,1,1,0,0,0,7
AwWnEP,1,1,0,0,0,4
bTcfpN,0,0,0,0,0,6
QCKwvus,0,0,0,0,1,6
FjrCUeqAJk,1,1,0,0,1,7
rDEeIZ,0,2,1,0,0,3
RIjKcUnbv,0,0,1,0,1,7
JcFjdou,0,0,0,1,1,5
RucdanMkZ,1,0,0,0,1,7
LxeWqnpHri,0,1,1,0,0,8
NCKRJHh,0,0,0,0,0,7
xrzOFjwgc,0,0,0,1,0,8
NHejGXOfB,0,1,0,1,0,7
fumMlxH,0,0,0,0,1,6
rwWFEJ,0,1,0,0,0,5
ydVouDkXiZ,0,0,1,1,1,7
ogEQxbSf,0,1,0,1,0,6
usrAEHN,1,1,0,0,1,4
lPDzeFWifM,0,1,1,0,0,8
idWXsPB,0,0,1,0,0,6
DZIaKMerm,1,1,1,0,0,6
EqbVRLa,1,1,0,0,0,5
MLQAgZ,1,0,0,0,0,5
qiamXUn,1,0,1,0,1,4
OCfaDIzA,2,0,1,1,0,4
UBJPKMT,0,0,0,0,1,6
jYgIfutc,0,0,1,0,1,6
ZAsIRp,1,0,1,0,0,4
YmRjquUS,0,0,0,0,2,6
rbsRTvXcqw,0,0,0,0,0,10
JpiUWdLAZ,1,0,1,0,1,6
CQxkbdoED,0,1,0,1,0,7
wZhHfaOvG,1,0,0,1,0,7
lxisVdQMj,0,0,1,0,0,8
OnLAMEzoa,2,1,0,2,0,4
UojXMrg,0,0,0,1,1,5
hLnGTpmw,0,0,0,0,0,8
jykETrJnw,0,1,0,0,0,8
TjKDwELUe,0,2,0,0,1,6
NtzJpC,0,0,0,0,0,6
FWlymAr,1,0,0,0,0,6
UOkGsMw,0,0,0,1,1,5
uFcpET,0,1,0,0,1,4
HhbeCTdXDU,0,1,0,0,1,8
tLnOAgKlV,1,0,0,1,0,7
fiGzJBnLI,0,0,2,0,0,7
LSPDtmXdeN,0,1,0,0,0,9
TSDyiAL,1,0,1,0,0,5
TYgxcKHOs,0,0,0,1,0,8
pXEGjdznF,0,1,0,0,0,8
OgGZKLRVPB,0,0,0,1,0,9
VIBDpXWbR,0,0,1,0,0,8
gMDNuXbZp,0,0,0,0,1,8
nBDLlvd,0,0,0,0,0,7
DmPUuwvfM,0,0,0,0,2,7
HKqbwS,0,0,0,0,0,6
LkmzbeYiNA,1,1,1,0,0,7
cnaBHTY,1,0,0,0,0,6
kJdfPDqglh,0,0,0,0,0,10
HGYiJtu,0,0,1,0,1,5
WDgPeC,0,1,0,0,0,5
ZvyHGB,0,0,0,0,0,6
RJqtmAUL,1,0,0,0,1,6
ZkDpAy,1,0,0,0,0,5
UHTGIt,0,0,1,0,1,4
bpgBwUlk,0,0,0,0,1,7
SZoJqRjx,0,0,0,1,0,7
bzcBsR,0,0,0,0,0,6
rBJtUf,0,0,0,0,1,5
MXdUeJ,0,1,0,0,1,4
KyhbnkS,0,0,0,0,0,7
OfqNanJLs,1,0,0,1,0,7
VhnIDkHi,0,0,2,0,0,6
awMWAIiX,2,0,2,0,0,4
pqJjhafc,1,0,0,0,0,7
QanIhYv,1,0,1,0,0,5
XMsilb,0,0,1,0,0,5
KWOCqwMY,0,0,0,1,0,7
xMAKIl,1,0,1,0,0,4
sDRofu,0,0,0,1,1,4
RlkEDv,0,1,0,0,0,5
tbDMVCTj,0,0,0,0,0,8
AtDGNCBp,1,0,0,0,0,7
BJiRIHvwgn,0,0,2,0,0,8
mZPJie,0,1,1,0,0,4
OiYpcNs,0,0,1,1,0,5
cqwjZSt,0,0,0,0,0,7
pnTGKVMQ,0,0,0,0,0,8
olUKphkf,0,0,0,1,1,6
LYxPiG,0,0,1,0,0,5
LwoGQSCkB,0,0,0,1,0,8
usBxdb,0,0,0,0,1,5
yDUqgHj,0,0,0,0,1,6
SVItly,0,0,1,0,0,5
wsWAtnR,1,0,0,0,0,6
SsWGxQ,0,0,0,0,0,6
LOYAkvR,1,0,0,1,0,5
dIwmZgUO,0,0,1,1,1,5
UGLizvJPOg,0,0,1,1,1,7
iFjZaQ,1,0,1,0,0,4
CuOQEeqw,0,2,0,1,1,4
sfFtRorW,0,0,0,1,0,7
WhQrTA,1,0,0,0,0,5
FZJjeQ,0,1,0,0,0,5
pDxzUYGyWu,0,0,0,0,2,8
NYRsOCkTp,0,0,0,1,0,8
bHRLhxIuaV,1,0,1,0,1,7
yQoqPgRw,0,0,0,1,0,7
dRwUGkf,0,0,0,0,1,6
vFRUljS,0,0,0,0,1,6
LUhfQWtnFc,0,0,0,0,1,9
DSOMxcQ,0,0,0,1,0,6
ctKhawSfP,1,0,0,0,0,8
ipBlMKjJWR,0,0,1,0,0,9
RgoDseAZdY,1,1,0,1,0,7
HAIFJjG,1,0,1,0,0,5
ObZMDfhx,0,0,0,1,0,7
hdbEvPFCeA,1,2,0,0,0,7
veFDgCKZ,0,1,0,0,0,7
uRhjKai,1,0,1,0,1,4
syJSQIYj,0,0,1,0,0,7
FtrmqQN,0,0,0,0,0,7
cNmGvuOsy,0,0,0,1,1,7
agTUpStdXc,1,0,0,0,1,8
diGVHM,0,0,1,0,0,5
hjWqtD,0,0,0,0,0,6
IbENle,0,2,1,0,0,3
IVgFOx,0,0,1,1,0,4
lkUYuy,0,0,0,0,2,4
sqgAHVIY,1,0,1,0,0,6
syiWKowMN,0,0,1,1,0,7
qOmbIijaCg,1,0,2,1,0,6
BiDRLu,0,0,1,0,1,4
OxLFpui,0,0,1,1,1,4
ZnAWIop,1,0,1,1,0,4
cMvsLzdGr,0,0,0,0,0,9
sJmlIyLPrV,0,0,1,0,0,9
RBMtkK,0,0,0,0,0,6
sorbRCge,0,1,0,1,0,6
MKkQPqVt,0,0,0,0,0,8
iCpxvjz,0,0,1,0,0,6
KDNPMgz,0,0,0,0,0,7
TLXFcIP,0,0,1,0,0,6
AFuJtWjcGf,1,0,0,0,1,8
bPmWntqBsJ,0,0,0,0,0,10
viutBZ,0,0,1,0,1,4
qIBHMN,0,0,1,0,0,5
DfvWywPjnR,0,0,0,0,0,10
YqZMozJQ,0,0,0,1,0,7
NJcAejS,1,1,0,0,0,5
YvSJXo,0,0,0,1,0,5
JSbIWwQkm,0,0,1,0,0,8
gKLRpOvfyG,0,0,0,1,0,9
oJrHcC,0,0,0,1,0,5
